# id: location ID
# date: in the center of the calibration time window (if known) 
# Nr: raw (observed) neutron count rate (cph)
# sensitivity: sensitivity relative to FZJ calibrator (-)
# N: neutron count rate (cph), corrected for sensor efficiency (Nr/sensitivity)
# abshum: mean absolute humidity in calibration period (g/m3)
# fp: mean correction factor for pressure in calibration period (-)
# fh: mean correction factor for humidity in calibration period (-)
# fijung: mean correction factor for temporal variability of incoming neutrons in calibration period, based on JUNG (-)
# phi: temporal correction factor from pressure, humidity, incoming (fh * fp * fijung)
# Nc: neutron count rate (cph), phi-corrected (pressure, humidity, incoming)
# biomass: above-ground dry biomass (kg/m²), treated as 0 if not available
# Nvegc: neutron count rate (cph), corrected for biomass based on Baatz et al., 2015 (cph), Nc / (1 - biomass * 0.9 / 100.)
# Nsim: "neutron intensity" as simulated by PARMA (mean over energy range 1e-6 to 1e-1 MeV)
# fi: scaling factor based on Nsim, obtained by Nsim@Marquardt/Nsim
# Nscaled: neutron count rate (cph), corrected by PARMA (Nvegc * fi, if applicable, otherwise Nc * fi)
# bd: dry soil bulk density (kg/m³)
# theta: average SWC in the sensor footprint, to be used for calibration (m³/m³)
# weq: soil water equivalent of SOM and lattice water (m³/m³)
# thetaeff: apparent SWC (theta + weq, m³/m³)
# landuse: string decribing major landuse
# lon: longitude of location (decimal degree)
# lat: latitude of location (decimal degree)
# alt: altitude of location (m asl)
# tocal: True if row data was used for general N0 calibration
id;date;Nr;sensitivity;N;abshum;fp;fh;fijung;phi;Nc;biomass;Nvegc;Nsim;fi;Nscaled;bd;theta;weq;thetaeff;landuse;lon;lat;alt;tocal
WUC001;2012-08-23 02:00:00;727.875;0.452;1610.343;8.058;1.020;1.006;1.028;1.055;1712.434;7.794;1841.624;28.460;0.601;1106.532;652.615;0.421;0.052;0.473;Forest;6.333;50.503;605.000;True
WUC003;2020-06-09 15:00:00;770.640;0.452;1704.956;8.762;1.013;1.007;0.962;0.981;1673.442;8.816;1817.662;28.460;0.601;1092.137;824.283;0.362;0.055;0.417;Reforestation;6.336;50.503;605.000;True
MQ1;2019-11-07;2058.719;1.190;1730.016;7.873;0.906;1.002;0.970;0.881;1522.141;1.746;1546.443;17.037;1.004;1552.161;1315.007;0.219;0.027;0.246;Cropland;12.958;52.466;38.700;True
MQ2;2019-11-07;703.983;0.452;1557.485;7.873;0.906;1.002;0.970;0.881;1373.519;6.538;1459.394;16.915;1.011;1475.355;1257.453;0.264;0.029;0.293;Cropland;12.956;52.466;31.100;True
MQ4;2019-11-07;8031.400;4.544;1767.474;7.873;0.906;1.002;0.970;0.881;1557.234;4.640;1625.100;17.051;1.003;1629.770;1379.589;0.188;0.028;0.216;Cropland;12.958;52.467;39.600;True
MQ21;2019-11-07;1921.872;1.132;1697.767;7.873;0.906;1.002;0.970;0.881;1496.233;2.781;1534.641;16.934;1.010;1549.685;1365.882;0.219;0.035;0.255;Cropland;12.957;52.466;32.300;True
MQ22;2019-11-07;1899.372;1.161;1635.980;7.873;0.906;1.002;0.970;0.881;1439.315;1.477;1458.710;16.993;1.006;1467.895;1296.355;0.266;0.034;0.300;Cropland;12.959;52.466;36.000;True
MQ26;2019-11-07;3444.333;2.040;1688.399;7.873;0.906;1.002;0.970;0.881;1487.284;3.408;1534.351;16.961;1.008;1546.925;1342.052;0.216;0.028;0.245;Cropland;12.957;52.466;34.000;True
MQ27;2019-11-07;3452.500;2.024;1705.781;7.873;0.906;1.002;0.970;0.881;1500.769;2.913;1541.180;16.960;1.008;1553.902;1428.666;0.197;0.028;0.224;Cropland;12.957;52.467;33.900;True
MQ28;2019-11-07;753.636;0.459;1641.909;7.873;0.906;1.002;0.970;0.881;1448.317;1.840;1472.703;16.951;1.009;1485.648;1310.710;0.240;0.030;0.270;Cropland;12.958;52.465;33.400;True
